================ BUILD ID ================
  cpp : #78 sha=da28d34 bin=765bc7186cd2dd73 FUSE_AB dprint probe
  data: # sha= 
=========================================
host=yyzo-bh-03  tag=ab_prod  timeout=1200s  worry=600s  ts=2026-06-01T14:51:43-0700
cmd: export TT_METAL_HOME=/localdev/smarton/tt-metal TT_METAL_RUNTIME_ROOT=/localdev/smarton/tt-metal TT_METAL_CACHE=/localdev/smarton/.cache/tt-metal-cache TT_METAL_ARCH_NAME=blackhole MESH_DEVICE=P100 GSPLAT_TT_BLEND_MODE=2 GSPLAT_TT_MB_KERNEL=1 GSPLAT_TT_MB_DEVCULL=1 GSPLAT_TT_DEVICE_PROJECT=1 GSPLAT_TT_RESIDENT_PROJECT=1 GSPLAT_TT_RESIDENT_GATHER=1 GSPLAT_TT_DEVICE_TILE_ASSIGN=1 GSPLAT_TT_RESIDENT_TA_IN=1 GSPLAT_TT_DEVICE_SORT=1 GSPLAT_TT_RESIDENT_PAIRS=1 GSPLAT_TT_RESIDENT_BLEND=1 GSPLAT_TT_SORT_DEVICE_PUBLISH=1 GSPLAT_TT_TA_DEVICE_SCAN=1 GSPLAT_TT_SFPU_CULL=1 GSPLAT_TT_FUSED_TILE=1 GSPLAT_TT_MB_TIMING=1 GSPLAT_TT_FUSE_AB=1 TT_METAL_DPRINT_CORES=all; source .venv/bin/activate 2>/dev/null; .venv/bin/python3 scripts/a003_verify.py --views 1 --iter-dir loop-ttw --out opt/ttw/last.json 2>&1 | tee /tmp/ttw_ab_prod.log >/dev/null; echo '===ABROW_PROD==='; grep 'ABROW' /tmp/ttw_ab_prod.log | sort -t= -k2 -n | head -200; echo '===SUMMARY==='; grep '^SUMMARY' /tmp/ttw_ab_prod.log | tail -1
-----------------------------------------
BUILD-ID VERIFY OK: cpp#78 bin=765bc7186cd2dd73 matches the built+stamped artifact
===ABROW_PROD===
0:3-5:NC: ABROW t=7 p=17 g=1515632 a=7.1564 mxl=23.9205 op=0.0891908 m=2290647040
0:3-5:NC: ABROW t=7 p=17 g=1515632 a=7.1564 mxl=23.9205 op=0.0891908 m=2290647040
0:3-5:NC: ABROW t=7 p=170 g=929397 a=0.574612 mxl=20.7356 op=0.036998 m=71303168
0:3-5:NC: ABROW t=7 p=170 g=929397 a=0.574612 mxl=20.7356 op=0.036998 m=71303168
0:3-5:NC: ABROW t=7 p=171 g=131323 a=0.370777 mxl=14.8109 op=0.331857 m=106954752
0:3-5:NC: ABROW t=7 p=171 g=131323 a=0.370777 mxl=14.8109 op=0.331857 m=106954752
0:3-5:NC: ABROW t=7 p=172 g=1262640 a=0.548507 mxl=20.2592 op=0.0199692 m=71303168
0:3-5:NC: ABROW t=7 p=172 g=1262640 a=0.548507 mxl=20.2592 op=0.0199692 m=71303168
0:3-5:NC: ABROW t=7 p=173 g=357184 a=1.42052 mxl=27.4506 op=0.095613 m=2361393152
0:3-5:NC: ABROW t=7 p=173 g=357184 a=1.42052 mxl=27.4506 op=0.095613 m=2361393152
0:3-5:NC: ABROW t=7 p=174 g=305227 a=1.96199 mxl=21.6925 op=0.49632 m=3437232128
0:3-5:NC: ABROW t=7 p=174 g=305227 a=1.96199 mxl=21.6925 op=0.49632 m=3437232128
0:3-5:NC: ABROW t=7 p=175 g=1548213 a=0.952956 mxl=21.8714 op=0.183958 m=1287651328
0:3-5:NC: ABROW t=7 p=175 g=1548213 a=0.952956 mxl=21.8714 op=0.183958 m=1287651328
0:3-5:NC: ABROW t=7 p=176 g=49455 a=1.1373 mxl=20.3593 op=0.0640847 m=1287651328
0:3-5:NC: ABROW t=7 p=176 g=49455 a=1.1373 mxl=20.3593 op=0.0640847 m=1287651328
0:3-5:NC: ABROW t=7 p=177 g=1479037 a=1.04699 mxl=11.2216 op=0.237843 m=144160
0:3-5:NC: ABROW t=7 p=177 g=1479037 a=1.04699 mxl=11.2216 op=0.237843 m=144160
0:3-5:NC: ABROW t=7 p=178 g=1230466 a=0.655029 mxl=20.6324 op=0.090063 m=71303168
0:3-5:NC: ABROW t=7 p=178 g=1230466 a=0.655029 mxl=20.6324 op=0.090063 m=71303168
0:3-5:NC: ABROW t=7 p=179 g=56138 a=0.629998 mxl=24.9313 op=0.0481031 m=3221225472
0:3-5:NC: ABROW t=7 p=179 g=56138 a=0.629998 mxl=24.9313 op=0.0481031 m=3221225472
0:3-5:NC: ABROW t=7 p=18 g=1428333 a=0.476194 mxl=23.8786 op=0.23445 m=3422552064
